,id,x,y,type
0,1011580573,12692.04,19269.24,priority
1,101464582,11972.19,16449.57,priority
2,104255852,12065.24,16595.17,traffic_light
3,1063965797,13032.85,17576.42,priority
4,1077347793,10871.10,17198.63,priority
5,1078684116,10903.98,17164.84,traffic_light
6,1078684132,10894.87,17145.52,traffic_light
7,1100103496,12872.14,19972.17,priority
8,1139712195,13182.17,17479.34,priority
9,1146944330,13583.91,15254.70,priority
10,1168822385,14943.62,18097.97,priority
11,1219104552,12782.16,16327.06,priority
12,1238704,12814.51,14924.25,traffic_light
13,1243218667,11996.05,16498.78,priority
14,1252201733,10529.76,15024.59,priority
15,1340936532,14150.97,15509.01,priority
16,1373730443,11328.42,16355.81,priority
17,1373730465,11282.97,16507.51,priority
18,1393689529,14585.60,15478.80,priority
19,1393690270,14645.56,15460.08,priority
20,1393691330,14443.29,15465.97,priority
21,1457660304,10233.48,16181.97,priority
22,1457660305,10202.36,16183.85,priority
23,14593187,13566.08,15244.56,traffic_light
24,14601975,13335.11,15199.37,priority
25,1462694008,14944.74,18072.94,traffic_light
26,1464326514,13604.18,18162.48,priority
27,1474567438,14891.87,18940.05,traffic_light
28,1474612214,14892.36,18954.24,priority
29,1492311049,14123.26,16623.44,traffic_light
30,1502320699,11155.23,19986.19,priority
31,151110200,11350.34,16283.67,priority
32,151110209,11320.99,16244.84,priority
33,151110230,11371.02,16217.09,priority
34,1574556639,11440.15,15872.94,priority
35,1584110709,14072.38,15101.02,priority
36,1610102670,13177.53,15053.36,priority
37,1625816017,12976.73,16314.65,priority
38,1625816025,12979.40,16344.14,priority
39,1626763644,12277.85,16864.44,traffic_light
40,1630216482,11084.99,15664.96,priority
41,1638028923,11813.23,16860.62,priority
42,1638951678,13199.35,15016.07,priority
43,1638951689,13208.64,15019.48,priority
44,1639063741,13555.07,15106.41,priority
45,1639063754,13768.31,15234.15,right_before_left
46,1639063764,13874.79,15375.08,priority
47,1652563350,11107.39,15095.24,priority
48,1672368519,13216.08,15035.94,traffic_light
49,1673121810,11984.74,16491.64,priority
50,1676897371,10473.66,14964.59,priority
51,1676911892,10533.08,15176.86,priority
52,1677325198,15199.52,15977.56,dead_end
53,1677325257,14831.34,16041.11,priority
54,1677325258,14877.82,16032.13,priority
55,1678156849,14077.39,16275.29,priority
56,1678156882,14226.93,16368.68,priority
57,1678177308,14073.92,16232.16,priority
58,1678177337,14075.39,16250.16,priority
59,1678199408,13949.45,16180.26,priority
60,1678199473,13863.05,16454.00,priority
61,1678199533,13853.11,16544.76,priority
62,1678230173,14314.63,16475.91,priority
63,1678246891,13860.35,16509.29,priority
64,1678246905,13668.35,16610.30,right_before_left
65,1678246936,13733.64,16696.42,priority
66,1678246942,13668.56,16722.31,priority
67,1678411666,10108.77,19977.44,priority
68,1678411721,10054.94,20065.75,dead_end
69,1678411767,9990.81,20085.88,dead_end
70,1678411906,9813.89,20360.72,dead_end
71,1679579323,13610.43,15269.25,priority
72,1679579491,13649.10,15631.86,priority
73,1679579561,13561.09,15843.63,priority
74,1679641284,14586.92,15443.81,priority
75,1679797954,14684.20,15885.67,priority
76,1679797967,14666.80,15911.57,priority
77,1679917650,14814.71,16605.52,traffic_light
78,1679918128,14771.87,17725.15,priority
79,1679918131,14837.11,17720.95,priority
80,1679918259,14942.28,18034.87,priority
81,1679918414,14650.60,18398.36,priority
82,1679918416,15176.09,18389.56,priority
83,1679918425,14835.62,18441.54,priority
84,1679918444,14898.95,18456.35,priority
85,1679918454,14528.05,18501.01,priority
86,1679918480,14624.24,18573.06,right_before_left
87,1679918504,14625.29,18652.99,priority
88,1679948677,14594.60,17239.41,priority
89,1679948681,14175.40,17233.18,priority
90,1679948869,14357.03,18987.50,priority
91,1679948931,14227.34,19302.03,priority
92,1680004081,14666.54,18719.89,priority
93,1680004091,14744.68,18766.54,priority
94,1680004097,14714.61,18846.90,priority
95,1680004120,14788.71,18868.43,priority
96,1680834779,13453.77,16277.05,priority
97,1680834806,13558.38,16323.50,priority
98,1680834808,13508.75,16335.09,priority
